STR;CSF1PO;D10S1248;D12S391;D13S317;D16S539;D18S51;D19S433;D1S1656;D21S11;D22S1045;D2S1338;D2S441;D3S1358;D5S818;D6S1043;D7S820;D8S1179;F13A01;F13B;FESFPS;FGA;LPL;Penta_C;Penta_D;Penta_E;SE33;TH01;TPOX;vWA
21.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0258;;;
21.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.0;;;0.0567;;;0.0155;;;;;0.0515;;;;;;;;;;0.2423;;;;0.0309;0.0155;;;
22.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0412;;;
22.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.0;;;0.0258;;;0.0052;;;;;0.1649;;;;;;;;;;0.2062;;;;0.0206;0.0103;;;
23.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0464;;;
23.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.0;;;0.0103;;;;;;;;0.1289;;;;;;;;;;0.1495;;;;;;;;
24.2;;;;;;;;;;;;;;;;;;;;;0.0052;;;;;0.0619;;;
24.3;;;0.0052;;;;;;;;;;;;;;;;;;;;;;;;;;
25.0;;;0.0155;;;;;;;;0.0464;;;;;;;;;;0.0722;;;;0.0052;;;;
25.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0567;;;
26.0;;;0.0103;;;;;;;;0.0361;;;;;;;;;;0.0309;;;;;;;;
26.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0722;;;
27.0;;;0.0052;;;;;;;;0.0052;;;;;;;;;;0.0052;;;;;;;;
27.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.1031;;;
27.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.0;;;;;;0.0052;;;0.0567;;;;;;;;;;;;;;;;;;;;
28.2;;;;;;;;;0.0052;;;;;;;;;;;;;;;;;0.0773;;;
28.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.0;;;;;;;;;0.2010;;;;;;;;;;;;;;;;;;;;
29.2;;;;;;;;;;;;;;;;;;;;;;;;;;0.0619;;;
29.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.0;;;;;;;;;0.3299;;;;;;;;;;;;;;;;;;;;
30.2;;;;;;;;;0.0052;;;;;;;;;;;;;;;;;0.0361;;;
30.3;;;;;;;;;0.0103;;;;;;;;;;;;;;;;;;;;
31.0;;;;;;;;;0.1237;;;;;;;;;;;;;;;;;;;;
31.2;;;;;;;;;0.0361;;;;;;;;;;;;;;;;;0.0258;;;
32.0;;;;;;;;;0.0567;;;;;;;;;;;;;;;;;;;;
32.2;;;;;;;;;0.1134;;;;;;;;;;;;;;;;;0.0103;;;
33.0;;;;;;;;;0.0155;;;;;;;;;;;;;;;;;;;;
33.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33.2;;;;;;;;;0.0464;;;;;;;;;;;;;;;;;;;;
34.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43.2;;;;;;;;;;;;;;;;;;;;;0.0052;;;;;;;;
Hobs;0.7835;0.7526;0.8660;0.8041;0.7423;0.8763;0.7835;0.8351;0.7732;0.7010;0.9072;0.8144;0.7423;0.8144;0.8351;0.6804;0.9072;0.6701;0.3711;0.8247;0.8763;0.5670;0.7216;0.7423;0.9175;0.9278;0.6804;0.6186;0.8144
PI;0.1040;0.0919;0.0473;0.0758;0.0928;0.0507;0.0724;0.0481;0.0566;0.1030;0.0428;0.1187;0.1485;0.0790;0.0324;0.0985;0.0492;0.1935;0.3880;0.1474;0.0528;0.2854;0.1017;0.0766;0.0194;0.0190;0.1361;0.2122;0.0885
PPE;0.5351;0.5619;0.6849;0.6069;0.5580;0.6807;0.6135;0.6916;0.6440;0.5350;0.7382;0.5259;0.4613;0.5958;0.7562;0.5361;0.6976;0.3872;0.2191;0.4855;0.6994;0.2915;0.5235;0.5908;0.8347;0.8767;0.4535;0.3525;0.5872
HWE;0.3394;0.6250;0.8547;0.2150;0.5697;0.9350;0.3331;0.6150;0.8559;0.0256;0.1675;0.4441;0.4916;0.5206;0.4388;0.3403;0.5513;0.1603;0.0628;0.0953;0.0728;0.2134;0.3956;0.5516;0.7950;0.0091;0.8084;0.9791;0.0934
