STR;CSF1PO;D10S1248;D12S391;D13S317;D16S539;D18S51;D19S433;D1S1656;D21S11;D22S1045;D2S1338;D2S441;D3S1358;D5S818;D6S1043;D7S820;D8S1179;F13A01;F13B;FESFPS;FGA;LPL;Penta_C;Penta_D;Penta_E;SE33;TH01;TPOX;vWA
29.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.0;;;;;;;;;0.2733;;;;;;;;;;;;0.0021;;;;;0.0021;;;
30.2;;;;;;;;;0.0233;;;;;;;;;;;;;;;;;0.0403;;;
30.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31.0;;;;;;;;;0.0763;;;;;;;;;;;;;;;;;;;;
31.2;;;;;;;;;0.0996;;;;;;;;;;;;;;;;;0.0127;;;
32.0;;;;;;;;;0.0169;;;;;;;;;;;;;;;;;;;;
32.2;;;;;;;;;0.1271;;;;;;;;;;;;;;;;;0.0106;;;
33.0;;;;;;;;;0.0042;;;;;;;;;;;;;;;;;0.0021;;;
33.1;;;;;;;;;0.0021;;;;;;;;;;;;;;;;;;;;
33.2;;;;;;;;;0.0339;;;;;;;;;;;;;;;;;0.0042;;;
34.0;;;;;;;;;0.0021;;;;;;;;;;;;;;;;;;;;
34.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hobs;0.7288;0.7627;0.8898;0.8517;0.7881;0.9068;0.7797;0.8814;0.8644;0.7331;0.8517;0.7542;0.7331;0.7373;0.8898;0.8220;0.7839;0.7966;0.7034;0.6822;0.8814;0.6610;0.7542;0.8681;0.8983;0.9280;0.7585;0.6737;0.7881
PI;0.1255;0.1050;0.0332;0.0526;0.0762;0.0303;0.0677;0.0284;0.0468;0.1743;0.0297;0.1098;0.0904;0.1457;0.0330;0.0867;0.0621;0.0781;0.1371;0.1416;0.0278;0.1545;0.0788;0.0499;0.0181;0.0099;0.0848;0.1554;0.0730
PPE;0.4756;0.5286;0.7559;0.6657;0.5918;0.7563;0.6172;0.7679;0.6829;0.4388;0.7474;0.5250;0.5427;0.4825;0.7486;0.5761;0.6303;0.5829;0.4635;0.4506;0.7585;0.4374;0.5789;0.6775;0.8199;0.8790;0.5624;0.4452;0.6009
HWE;0.8950;0.4475;0.1050;0.8219;0.6644;0.6691;0.0916;0.2778;0.9872;0.1353;0.7247;0.0397;0.9116;0.4516;0.5547;0.4806;0.1369;0.9116;0.3322;0.8238;0.8784;0.7781;0.5275;0.6644;0.5516;0.7269;0.7919;0.2359;0.6691
